epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3549.3,1.1177,0.79807,1.30317,0.94053,0.82312,0.91117,0.6512,1.13613,0.66216,1.19558,0.000918991,0.000918991,0.000918991
43,3638.49,1.11041,0.78369,1.31674,0.91767,0.86933,0.91309,0.60303,1.31931,0.66768,1.27614,0.000897557,0.000897557,0.000897557
44,3719.61,1.12962,0.7958,1.31289,0.94919,0.82031,0.90201,0.63037,1.17822,0.71268,1.2605,0.00087595,0.00087595,0.00087595
45,3801.26,1.11475,0.8019,1.31295,0.93681,0.85165,0.92101,0.63796,1.21837,0.64252,1.23908,0.00085419,0.00085419,0.00085419
46,3883.86,1.12983,0.78471,1.31363,0.90579,0.89217,0.92668,0.6139,1.29156,0.6573,1.26426,0.0008323,0.0008323,0.0008323
47,3965.31,1.07631,0.70665,1.27294,0.96288,0.82787,0.90545,0.6079,1.27315,0.68185,1.27799,0.0008103,0.0008103,0.0008103
48,4047.02,1.1029,0.75054,1.3018,0.93327,0.87034,0.91651,0.56122,1.4693,0.68057,1.36257,0.000788213,0.000788213,0.000788213
49,4128.04,1.09906,0.75605,1.30144,0.95889,0.83537,0.908,0.61172,1.27679,0.67268,1.27138,0.00076606,0.00076606,0.00076606
50,4209.08,1.05167,0.70424,1.26462,0.88981,0.88738,0.93015,0.62493,1.22126,0.61383,1.25581,0.000743864,0.000743864,0.000743864
51,4291.05,1.04897,0.72912,1.25994,0.96564,0.81634,0.91179,0.60371,1.25205,0.68921,1.28573,0.000721645,0.000721645,0.000721645
52,4373.61,1.06341,0.71826,1.26506,0.96463,0.7932,0.88895,0.60705,1.20009,0.77894,1.2617,0.000699426,0.000699426,0.000699426
53,4455.4,1.06756,0.7324,1.28644,0.94665,0.83206,0.90725,0.64633,1.09938,0.67474,1.20068,0.00067723,0.00067723,0.00067723
54,4537.57,1.04991,0.73485,1.26501,0.91225,0.85426,0.89152,0.58071,1.35517,0.77239,1.33625,0.000655077,0.000655077,0.000655077
55,4619.11,1.04544,0.71289,1.27091,0.93856,0.87955,0.93046,0.7131,0.90918,0.53384,1.11392,0.00063299,0.00063299,0.00063299
56,4708.66,1.01494,0.70973,1.25892,0.91741,0.87112,0.91816,0.69229,0.9226,0.60602,1.12725,0.00061099,0.00061099,0.00061099
57,4789.65,1.00765,0.69515,1.2398,0.97092,0.83919,0.91826,0.7042,0.91023,0.58759,1.14343,0.0005891,0.0005891,0.0005891
58,4870.78,1.01964,0.66783,1.24162,0.95627,0.84964,0.91574,0.68005,0.96756,0.61549,1.13025,0.00056734,0.00056734,0.00056734
59,4952.24,1.0149,0.69702,1.23131,0.93001,0.85874,0.90883,0.68782,0.97118,0.58858,1.14665,0.000545733,0.000545733,0.000545733
60,5032.81,0.99136,0.66116,1.22853,0.91427,0.83433,0.90668,0.67564,0.98234,0.67203,1.17147,0.000524299,0.000524299,0.000524299
61,5114.27,1.0013,0.67784,1.2258,0.9717,0.88228,0.93972,0.72085,0.90453,0.53675,1.09751,0.00050306,0.00050306,0.00050306
62,5203.02,0.96181,0.62943,1.20985,0.94371,0.88957,0.9368,0.63834,1.25819,0.59809,1.27261,0.000482037,0.000482037,0.000482037
63,5285,0.96026,0.64025,1.21645,0.94683,0.86353,0.94882,0.7457,0.86065,0.50917,1.06184,0.00046125,0.00046125,0.00046125
64,5371.74,0.98512,0.66132,1.22102,0.96915,0.86052,0.9315,0.74146,0.81064,0.52335,1.054,0.00044072,0.00044072,0.00044072
65,5452.91,0.97701,0.65725,1.21184,0.97428,0.86451,0.93859,0.73496,0.85951,0.49915,1.06783,0.000420468,0.000420468,0.000420468
66,5536.03,0.94747,0.61119,1.18768,0.94938,0.89577,0.93518,0.73315,0.85043,0.52058,1.08047,0.000400513,0.000400513,0.000400513
67,5618.46,0.95179,0.60865,1.19698,0.97306,0.88733,0.93836,0.75309,0.78316,0.49254,1.04522,0.000380874,0.000380874,0.000380874
68,5706.95,0.91832,0.60203,1.181,0.96702,0.86728,0.92837,0.73962,0.80437,0.52971,1.06393,0.000361572,0.000361572,0.000361572
69,5789.13,0.94438,0.60437,1.19823,0.93283,0.91883,0.94174,0.72265,0.94384,0.48449,1.09801,0.000342625,0.000342625,0.000342625
